evaluation,failure_prevented,n_maintenance_activities,id
66.6667,False,0,WDC WD20EFRX_WD-WCC4M0PT9JCF_0
61.2245,False,0,WDC WD20EFRX_WD-WCC4M3TTXF1Y_0
80.0,False,0,WDC WD20EFRX_WD-WCC4M7UYXP88_0
86.8966,False,0,WDC WD20EFRX_WD-WCC4MJPUYLC7_0
86.0294,False,0,WDC WD20EFRX_WD-WCC4MKDL77ZK_0
70.7692,False,0,WDC WD20EFRX_WD-WMC4M2889366_0
88.9535,False,0,WDC WD20EFRX_WD-WMC4M2889605_0
86.2319,False,0,WDC WD20EFRX_WD-WMC4M2892089_0
84.8,False,0,WDC WD20EFRX_WD-WMC4M2932382_0
91.0798,False,0,WDC WD20EFRX_WD-WMC4M2932590_0
88.1988,False,0,WDC WD20EFRX_WD-WMC4M2932733_0
